date_utc,value,assets
2021-09-02 01:15:00+00:00,24.555,0.4
2021-09-02 01:30:00+00:00,25.702,0.4
2021-09-02 01:45:00+00:00,24.813,0.4
2021-09-02 02:00:00+00:00,25.173,0.4
2021-09-02 02:15:00+00:00,25.813,0.4
2021-09-02 02:30:00+00:00,30.777,0.4
2021-09-02 02:45:00+00:00,33.038,0.4
2021-09-02 03:00:00+00:00,33.863,0.4
2021-09-02 03:15:00+00:00,36.516,0.4
2021-09-02 03:30:00+00:00,37.224000000000004,0.4
2021-09-02 03:45:00+00:00,39.017,0.4
2021-09-02 04:00:00+00:00,43.47,0.4
2021-09-02 04:15:00+00:00,42.909,0.4
2021-09-02 04:30:00+00:00,43.018,0.4
2021-09-02 04:45:00+00:00,45.382,0.4
2021-09-02 05:00:00+00:00,46.832,0.4
2021-09-02 05:15:00+00:00,43.922,0.4
2021-09-02 05:30:00+00:00,44.931,0.4
2021-09-02 05:45:00+00:00,50.94,0.4
2021-09-02 06:00:00+00:00,47.482,0.4
2021-09-02 06:15:00+00:00,48.692,0.4
2021-09-02 06:30:00+00:00,52.471,0.4
2021-09-02 06:45:00+00:00,53.345,0.4
2021-09-02 07:00:00+00:00,52.774,0.4
2021-09-02 07:15:00+00:00,54.153999999999996,0.4
2021-09-02 07:30:00+00:00,53.838,0.4
2021-09-02 07:45:00+00:00,55.185,0.4
2021-09-02 08:00:00+00:00,56.489,0.4
2021-09-02 08:15:00+00:00,55.475,0.4
2021-09-02 08:30:00+00:00,55.193,0.4
2021-09-02 08:45:00+00:00,52.036,0.4
2021-09-02 09:00:00+00:00,54.51,0.4
2021-09-02 09:15:00+00:00,53.475,0.4
2021-09-02 09:30:00+00:00,54.447,0.4
2021-09-02 09:45:00+00:00,57.415,0.4
2021-09-02 10:00:00+00:00,55.069,0.4
2021-09-02 10:15:00+00:00,55.283,0.4
2021-09-02 10:30:00+00:00,49.142,0.4
2021-09-02 10:45:00+00:00,49.898,0.4
2021-09-02 11:00:00+00:00,51.04,0.4
2021-09-02 11:15:00+00:00,50.603,0.4
2021-09-02 11:30:00+00:00,47.476,0.4
2021-09-02 11:45:00+00:00,50.149,0.4
2021-09-02 12:00:00+00:00,54.695,0.4
2021-09-02 12:15:00+00:00,51.410000000000004,0.4
2021-09-02 12:30:00+00:00,50.827,0.4
2021-09-02 12:45:00+00:00,48.693,0.4
2021-09-02 13:00:00+00:00,49.21,0.4
2021-09-02 13:15:00+00:00,45.901,0.4
2021-09-02 13:30:00+00:00,42.557,0.4
2021-09-02 13:45:00+00:00,47.711,0.4
2021-09-02 14:00:00+00:00,47.977,0.4
2021-09-02 14:15:00+00:00,43.583,0.4
2021-09-02 14:30:00+00:00,41.824,0.4
2021-09-02 14:45:00+00:00,44.428,0.4
2021-09-02 15:00:00+00:00,43.748,0.4
2021-09-02 15:15:00+00:00,44.697,0.4
2021-09-02 15:30:00+00:00,46.714,0.4
2021-09-02 15:45:00+00:00,45.558,0.4
2021-09-02 16:00:00+00:00,43.286,0.4
2021-09-02 16:15:00+00:00,41.681,0.4
2021-09-02 16:30:00+00:00,44.338,0.4
2021-09-02 16:45:00+00:00,41.874,0.4
2021-09-02 17:00:00+00:00,38.934,0.4
2021-09-02 17:15:00+00:00,38.198,0.4
2021-09-02 17:30:00+00:00,40.075,0.4
2021-09-02 17:45:00+00:00,38.665,0.4
2021-09-02 18:00:00+00:00,41.231,0.4
2021-09-02 18:15:00+00:00,42.658,0.4
2021-09-02 18:30:00+00:00,40.933,0.4
2021-09-02 18:45:00+00:00,39.268,0.4
2021-09-02 19:00:00+00:00,35.859,0.4
2021-09-02 19:15:00+00:00,32.698,0.4
2021-09-02 19:30:00+00:00,32.037,0.4
